"","Site","Tissue","PCT.AG","ag.logit.z","PCT.DEV","dev.logit.z","BMP","BMP.z","Observation","Total_PCB","Pentachlorobenzene","Heptachlor","p,p'-DDE","Galaxolide","Tonalide","Carbazole","Chlorpyrifos","Diazinon","Prometon","Diethyl phthalate","Diethylhexylphthalate (DEHP)","Tributyl phosphate (TBP)","Tris(2-chloroethyl)phosphate (TCEP)","Triphenyl phosphate (TPP)","Anthracene","Fluoranthene","Naphthalene","Phenanthrene","Pyrene","Acetophenone","Anthraquinone","Benzophenone","Caffeine","Camphor","Cotinine","Ethyl citrate","Indole","Isophorone","Menthol","Methyl salicylate","Methyl Triclosan","N,N-diethyltoluamide (DEET)","p-Octylphenol"
"1","POT","Ovary",0.7435008666,1.41637950075991,0.0719237435,-0.619518112308489,0.005436,1.53831993621014,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
"2","POT","Ovary",0.7435008666,1.41637950075991,0.0719237435,-0.619518112308489,0.005436,1.53831993621014,2,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
"3","POT","Ovary",0.7435008666,1.41637950075991,0.0719237435,-0.619518112308489,0.005436,1.53831993621014,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0
"4","POT","Ovary",0.7435008666,1.41637950075991,0.0719237435,-0.619518112308489,0.005436,1.53831993621014,4,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0
"5","POT","Ovary",0.7435008666,1.41637950075991,0.0719237435,-0.619518112308489,0.005436,1.53831993621014,5,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"6","POT","Ovary",0.7435008666,1.41637950075991,0.0719237435,-0.619518112308489,0.005436,1.53831993621014,6,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"7","POT","Ovary",0.7435008666,1.41637950075991,0.0719237435,-0.619518112308489,0.005436,1.53831993621014,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","POT","Ovary",0.7435008666,1.41637950075991,0.0719237435,-0.619518112308489,0.005436,1.53831993621014,8,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
"9","POT","Ovary",0.7435008666,1.41637950075991,0.0719237435,-0.619518112308489,0.005436,1.53831993621014,9,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
"10","POT","Ovary",0.7435008666,1.41637950075991,0.0719237435,-0.619518112308489,0.005436,1.53831993621014,10,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
"21","POT","Ovary",0.7435008666,1.41637950075991,0.0719237435,-0.619518112308489,0.005436,1.53831993621014,21,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"22","POT","Ovary",0.7435008666,1.41637950075991,0.0719237435,-0.619518112308489,0.005436,1.53831993621014,22,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
"23","POT","Ovary",0.7435008666,1.41637950075991,0.0719237435,-0.619518112308489,0.005436,1.53831993621014,23,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
"24","POT","Ovary",0.7435008666,1.41637950075991,0.0719237435,-0.619518112308489,0.005436,1.53831993621014,24,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"25","POT","Ovary",0.7435008666,1.41637950075991,0.0719237435,-0.619518112308489,0.005436,1.53831993621014,25,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"26","POT","Ovary",0.7435008666,1.41637950075991,0.0719237435,-0.619518112308489,0.005436,1.53831993621014,26,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"27","POT","Ovary",0.7435008666,1.41637950075991,0.0719237435,-0.619518112308489,0.005436,1.53831993621014,27,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"28","POT","Ovary",0.7435008666,1.41637950075991,0.0719237435,-0.619518112308489,0.005436,1.53831993621014,28,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"29","POT","Ovary",0.7435008666,1.41637950075991,0.0719237435,-0.619518112308489,0.005436,1.53831993621014,29,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
"48","CHIL","Ovary",0.1742808799,-0.252183006958253,0.06651047768,-0.698531499163696,0.002648,-0.531339937337599,48,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
"49","CHIL","Ovary",0.1742808799,-0.252183006958253,0.06651047768,-0.698531499163696,0.002648,-0.531339937337599,49,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"50","CHIL","Ovary",0.1742808799,-0.252183006958253,0.06651047768,-0.698531499163696,0.002648,-0.531339937337599,50,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
"51","CHIL","Ovary",0.1742808799,-0.252183006958253,0.06651047768,-0.698531499163696,0.002648,-0.531339937337599,51,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"52","CHIL","Ovary",0.1742808799,-0.252183006958253,0.06651047768,-0.698531499163696,0.002648,-0.531339937337599,52,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"53","CHIL","Ovary",0.1742808799,-0.252183006958253,0.06651047768,-0.698531499163696,0.002648,-0.531339937337599,53,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"54","CHIL","Ovary",0.1742808799,-0.252183006958253,0.06651047768,-0.698531499163696,0.002648,-0.531339937337599,54,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"55","CHIL","Ovary",0.1742808799,-0.252183006958253,0.06651047768,-0.698531499163696,0.002648,-0.531339937337599,55,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"56","CHIL","Ovary",0.1742808799,-0.252183006958253,0.06651047768,-0.698531499163696,0.002648,-0.531339937337599,56,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"57","CHIL","Ovary",0.1742808799,-0.252183006958253,0.06651047768,-0.698531499163696,0.002648,-0.531339937337599,57,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"64","CHIL","YOY",0.1742808799,-0.252183006958253,0.06651047768,-0.698531499163696,0.002648,-0.531339937337599,64,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65","CHIL","YOY",0.1742808799,-0.252183006958253,0.06651047768,-0.698531499163696,0.002648,-0.531339937337599,65,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66","CHIL","YOY",0.1742808799,-0.252183006958253,0.06651047768,-0.698531499163696,0.002648,-0.531339937337599,66,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"67","CHIL","YOY",0.1742808799,-0.252183006958253,0.06651047768,-0.698531499163696,0.002648,-0.531339937337599,67,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"68","CHIL","YOY",0.1742808799,-0.252183006958253,0.06651047768,-0.698531499163696,0.002648,-0.531339937337599,68,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69","CHIL","YOY",0.1742808799,-0.252183006958253,0.06651047768,-0.698531499163696,0.002648,-0.531339937337599,69,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0
"70","CHIL","YOY",0.1742808799,-0.252183006958253,0.06651047768,-0.698531499163696,0.002648,-0.531339937337599,70,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71","CHIL","YOY",0.1742808799,-0.252183006958253,0.06651047768,-0.698531499163696,0.002648,-0.531339937337599,71,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"72","CHIL","YOY",0.1742808799,-0.252183006958253,0.06651047768,-0.698531499163696,0.002648,-0.531339937337599,72,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0
"73","POT","YOY",0.7435008666,1.41637950075991,0.0719237435,-0.619518112308489,0.005436,1.53831993621014,73,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"74","POT","YOY",0.7435008666,1.41637950075991,0.0719237435,-0.619518112308489,0.005436,1.53831993621014,74,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"75","POT","YOY",0.7435008666,1.41637950075991,0.0719237435,-0.619518112308489,0.005436,1.53831993621014,75,1,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0
"76","POT","YOY",0.7435008666,1.41637950075991,0.0719237435,-0.619518112308489,0.005436,1.53831993621014,76,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"77","POT","YOY",0.7435008666,1.41637950075991,0.0719237435,-0.619518112308489,0.005436,1.53831993621014,77,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"78","CHIL","Ovary",0.1742808799,-0.252183006958253,0.06651047768,-0.698531499163696,0.002648,-0.531339937337599,78,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
"79","CHIL","Ovary",0.1742808799,-0.252183006958253,0.06651047768,-0.698531499163696,0.002648,-0.531339937337599,79,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"80","CHIL","Ovary",0.1742808799,-0.252183006958253,0.06651047768,-0.698531499163696,0.002648,-0.531339937337599,80,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
"81","CHIL","Ovary",0.1742808799,-0.252183006958253,0.06651047768,-0.698531499163696,0.002648,-0.531339937337599,81,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"82","CHIL","Ovary",0.1742808799,-0.252183006958253,0.06651047768,-0.698531499163696,0.002648,-0.531339937337599,82,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1
"83","CHIL","Ovary",0.1742808799,-0.252183006958253,0.06651047768,-0.698531499163696,0.002648,-0.531339937337599,83,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"84","CHIL","Ovary",0.1742808799,-0.252183006958253,0.06651047768,-0.698531499163696,0.002648,-0.531339937337599,84,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"85","POT","YOY",0.7435008666,1.41637950075991,0.0719237435,-0.619518112308489,0.005436,1.53831993621014,85,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"86","POT","YOY",0.7435008666,1.41637950075991,0.0719237435,-0.619518112308489,0.005436,1.53831993621014,86,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
"87","POT","YOY",0.7435008666,1.41637950075991,0.0719237435,-0.619518112308489,0.005436,1.53831993621014,87,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"88","POT","YOY",0.7435008666,1.41637950075991,0.0719237435,-0.619518112308489,0.005436,1.53831993621014,88,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89","POT","YOY",0.7435008666,1.41637950075991,0.0719237435,-0.619518112308489,0.005436,1.53831993621014,89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"90","CHIL","Ovary",0.1742808799,-0.252183006958253,0.06651047768,-0.698531499163696,0.002648,-0.531339937337599,90,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"91","CHIL","Ovary",0.1742808799,-0.252183006958253,0.06651047768,-0.698531499163696,0.002648,-0.531339937337599,91,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"92","CHIL","Ovary",0.1742808799,-0.252183006958253,0.06651047768,-0.698531499163696,0.002648,-0.531339937337599,92,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"93","CHIL","Ovary",0.1742808799,-0.252183006958253,0.06651047768,-0.698531499163696,0.002648,-0.531339937337599,93,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"94","CHIL","Ovary",0.1742808799,-0.252183006958253,0.06651047768,-0.698531499163696,0.002648,-0.531339937337599,94,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1
"95","CHIL","Ovary",0.1742808799,-0.252183006958253,0.06651047768,-0.698531499163696,0.002648,-0.531339937337599,95,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"96","CHIL","Ovary",0.1742808799,-0.252183006958253,0.06651047768,-0.698531499163696,0.002648,-0.531339937337599,96,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"97","PC","YOY",0.03915592028,-1.29967098358498,0.03798358734,-1.25338066362992,0.001089,-1.68865691827767,97,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"98","PC","YOY",0.03915592028,-1.29967098358498,0.03798358734,-1.25338066362992,0.001089,-1.68865691827767,98,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"99","PC","YOY",0.03915592028,-1.29967098358498,0.03798358734,-1.25338066362992,0.001089,-1.68865691827767,99,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1
"100","PC","YOY",0.03915592028,-1.29967098358498,0.03798358734,-1.25338066362992,0.001089,-1.68865691827767,100,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
"101","PC","YOY",0.03915592028,-1.29967098358498,0.03798358734,-1.25338066362992,0.001089,-1.68865691827767,101,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"102","PC","YOY",0.03915592028,-1.29967098358498,0.03798358734,-1.25338066362992,0.001089,-1.68865691827767,102,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"103","PC","YOY",0.03915592028,-1.29967098358498,0.03798358734,-1.25338066362992,0.001089,-1.68865691827767,103,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
